Credit_Score,Total_Assets,Total_Liabilities,Age,Net_Worth,Years_of_Investing,Number_of_Dependents,Risk_Tolerance_High,Income_Level_High,Time_Horizon_Short-term,Investment_Strategy
790,4914265.9149344545,2071455.2463341083,62,2842810.668600346,5,4,False,True,True,2
774,5184578.47252561,2107190.5485665654,65,3077387.9239590443,0,2,False,False,False,1
757,4901860.8201815365,1969949.6613450993,18,2931911.1588364374,35,3,False,False,False,1
520,5076856.9535937505,2183759.2095937575,21,2893097.743999993,34,2,True,False,False,1
652,4913652.297321629,1950916.0855893549,21,2962736.211732274,13,4,False,True,True,1
667,4813672.192936235,1890950.650224599,57,2922721.542711636,12,3,False,False,False,1
600,5143088.7776383795,1944925.3519700426,27,3198163.425668337,19,3,False,False,False,1
678,4891755.536500745,2089402.2411440094,37,2802353.295356736,13,1,False,False,False,1
600,5043324.689517227,2091673.5809551077,39,2951651.1085621193,22,1,False,True,True,2
752,5005984.893137938,1992960.9123694461,68,3013023.9807684924,28,4,True,False,False,1
770,5291302.716075026,1947720.5088394918,54,3343582.2072355347,34,3,True,False,True,1
658,4852125.650107366,1857939.383921138,41,2994186.266186228,21,2,False,False,False,1
689,5021585.9410705725,2018175.5043257303,24,3003410.436744842,7,1,False,False,True,2
744,4970284.787004234,1905143.3500246822,42,3065141.436979552,27,1,False,False,False,1
721,4790670.558843958,1789474.7730533266,42,3001195.7857906315,10,2,False,False,True,1
654,5027902.764790527,2148579.7881788346,30,2879322.976611692,35,2,False,True,True,2
725,5076387.506993644,2051134.5362144406,19,3025252.9707792033,4,1,True,False,False,0
678,4658998.467341051,2098984.4945150386,56,2560013.972826013,15,1,False,True,False,1
685,5066726.716789029,1909875.668394741,57,3156851.048394288,17,1,False,False,False,1
708,5110754.518548102,1840619.3208189325,41,3270135.1977291694,7,0,False,True,False,1
702,5144307.423777346,2095482.046992957,64,3048825.376784389,11,2,True,False,False,1
736,5145693.454691933,1814645.8398075993,42,3331047.614884333,22,2,True,False,True,0
581,4912101.899539489,1984720.1118746013,35,2927381.787664888,31,2,False,True,True,2
694,4930490.748759857,1892881.9551588094,55,3037608.793601048,33,3,True,False,False,1
687,4825460.71206771,2032794.7856090376,43,2792665.9264586726,3,4,True,False,False,0
614,4846172.8346777,2015456.8372510052,31,2830715.9974266947,14,3,True,False,False,0
587,5147900.166622275,2026554.477177404,26,3121345.6894448707,16,2,True,False,False,0
748,5045057.005415165,2091043.907547856,27,2954013.097867309,13,0,True,False,False,4
653,4897573.915555765,1965810.2355836635,38,2931763.6799721015,16,1,False,True,False,5
727,4806788.662681641,2003792.6716780677,69,2802995.9910035734,9,2,True,False,False,1
774,4997274.576711435,2015839.0475162596,34,2981435.5291951755,22,2,False,False,False,4
657,5209448.12303218,2092295.4904834991,69,3117152.6325486805,17,0,False,True,False,1
720,5101807.944455179,2096715.1832593726,23,3005092.761195807,34,2,False,True,False,1
720,4796803.853890246,2027929.044396253,33,2768874.8094939925,17,3,False,False,False,1
754,5155971.822668762,1918046.1664770762,65,3237925.6561916857,33,4,False,False,True,2
738,4999963.687293059,1946775.7969674994,18,3053187.89032556,3,2,True,True,False,0
745,5062238.590435494,2148835.961650267,36,2913402.628785227,15,0,True,True,False,1
610,4791192.951729152,1994256.7975767907,53,2796936.1541523617,0,3,True,True,True,0
615,5065808.400655281,1795295.1663622411,42,3270513.23429304,11,2,False,True,False,1
754,5266791.709711157,1910863.76933348,67,3355927.940377677,23,3,True,False,False,1
845,5004198.045202843,1827587.2817832206,69,3176610.7634196226,25,3,False,True,False,4
668,4913681.150534837,2167928.9438592717,47,2745752.206675565,8,0,False,False,False,1
646,4574251.336452762,1853959.5213155537,37,2720291.815137208,3,0,True,False,True,0
645,5055044.895930024,2056714.9103177758,37,2998329.985612248,31,0,True,True,False,1
763,5059846.787015881,2213513.048919143,32,2846333.7380967382,5,4,False,False,False,1
696,4948519.152839283,1829440.8337365114,57,3119078.319102772,36,3,False,True,True,2
723,4788991.432312637,1961543.038690658,50,2827448.3936219783,20,1,False,False,False,1
688,4915031.291872725,2097608.4967924664,19,2817422.7950802585,16,2,True,False,False,1
615,4880168.039059455,1833371.9613666055,27,3046796.077692849,35,0,False,False,False,1
693,5293037.112360777,1829822.2151306118,50,3463214.8972301655,38,3,False,False,False,3
769,5143531.206056522,2123283.522160542,49,3020247.68389598,31,3,True,False,False,0
655,4959050.087871905,1980705.6666061515,28,2978344.421265754,22,2,False,False,False,1
673,5313576.633179066,2150433.9858250464,41,3163142.6473540193,25,2,False,True,False,1
560,4864958.157795176,2013044.7035168966,53,2851913.454278279,27,3,False,False,False,1
750,5263838.524346876,2076294.5512190098,29,3187543.973127866,16,0,False,False,False,1
701,4969533.755099342,2044305.091580131,68,2925228.663519211,33,4,True,False,False,1
705,5030675.421743498,1931765.4225343033,46,3098909.999209195,17,4,False,False,False,1
707,4949126.764934242,1865671.114243515,52,3083455.650690727,4,1,False,True,False,1
721,4997189.862872676,2084665.5319319882,18,2912524.330940688,13,2,False,False,False,1
697,5092691.7769052675,2002372.3865831315,18,3090319.3903221358,32,0,False,False,True,1
688,4982538.040599365,2032772.092086015,54,2949765.9485133495,8,2,False,True,False,1
635,4841685.901224946,1894974.657712675,23,2946711.243512271,9,4,False,False,True,2
802,5170225.221486773,1951126.5571040048,56,3219098.664382769,5,3,True,False,False,1
733,4921390.362638215,1951573.6016518646,58,2969816.76098635,30,4,False,False,False,3
626,4992004.100287502,2082121.9805643717,35,2909882.11972313,4,4,False,True,True,1
674,5177519.228955431,2066300.1419788233,33,3111219.0869766073,38,3,False,False,True,1
743,5220840.8298491035,1911847.4103688905,22,3308993.419480213,6,2,True,False,False,1
