User_ID,Age,Income_Level,Credit_Score,Investment_Experience,Financial_Knowledge,Risk_Tolerance,Investment_Goals,Time_Horizon,Total_Assets,Total_Liabilities,Number_of_Dependents,Years_of_Investing,Net_Worth,Investment_Strategy
EJ18IN46L6,62,High,790,Experienced,Medium,Low,Preservation,Short-term,4914265,2071455,4,5,2842810,Conservative
T09UF1LY2I,65,Medium,774,Novice,Low,Low,Speculation,Long-term,5184578,2107190,2,0,3077388,Balanced
UM5WM7H2H4,18,Low,757,Novice,Low,Low,Growth,Long-term,4901860,1969949,3,35,2931911,Balanced
H9JQT4S2OL,21,Medium,520,Novice,Medium,High,Preservation,Long-term,5076856,2183759,2,34,2893097,Balanced
ZUA2W2OCES,21,High,652,Experienced,Low,Medium,Income,Short-term,4913652,1950916,4,13,2962736,Balanced
8KTZS5698F,57,Low,667,Intermediate,Low,Medium,Speculation,Long-term,4813672,1890950,3,12,2922722,Balanced
4FYPXPA92D,27,Medium,600,Experienced,High,Low,Preservation,Medium-term,5143088,1944925,3,19,3198163,Balanced
HHORLTZCIV,37,Low,678,Novice,Medium,Medium,Speculation,Long-term,4891755,2089402,1,13,2802353,Balanced
9A76TIESSG,39,High,600,Novice,High,Low,Income,Short-term,5043324,2091673,1,22,2951651,Conservative
K9RX3CFX0M,68,Medium,752,Experienced,Low,High,Preservation,Medium-term,5005984,1992960,4,28,3013024,Balanced
UUO701MH10,54,Medium,770,Experienced,Medium,High,Income,Short-term,5291302,1947720,3,34,3343582,Balanced
M8WZMNTSWA,41,Low,658,Novice,Medium,Low,Preservation,Long-term,4852125,1857939,2,21,2994186,Balanced
K6O1KPMZBX,24,Medium,689,Novice,High,Low,Speculation,Short-term,5021585,2018175,1,7,3003410,Conservative
LO236G30J1,42,Medium,744,Intermediate,Low,Medium,Income,Medium-term,4970284,1905143,1,27,3065141,Balanced
V6Q7IGQ813,42,Medium,721,Experienced,Low,Medium,Growth,Short-term,4790670,1789474,2,10,3001196,Balanced
V0H871OMVJ,30,High,654,Experienced,Low,Low,Growth,Short-term,5027902,2148579,2,35,2879323,Conservative
NMZYIF0LXX,19,Low,725,Intermediate,High,High,Speculation,Long-term,5076387,2051134,1,4,3025253,Aggressive
WLKSZMXFSW,56,High,678,Experienced,Low,Low,Speculation,Medium-term,4658998,2098984,1,15,2560014,Balanced
GNFCJ7PBCW,57,Medium,685,Experienced,Low,Low,Growth,Medium-term,5066726,1909875,1,17,3156851,Balanced
OLA3VIZT67,41,High,708,Intermediate,High,Medium,Preservation,Long-term,5110754,1840619,0,7,3270135,Balanced
93538S9D9T,64,Low,702,Intermediate,Medium,High,Preservation,Long-term,5144307,2095482,2,11,3048825,Balanced
P7RZ1ESCE8,42,Medium,736,Novice,High,High,Growth,Short-term,5145693,1814645,2,22,3331048,Aggressive
AYN9Y69ZMW,35,High,581,Experienced,Low,Low,Preservation,Short-term,4912101,1984720,2,31,2927381,Conservative
5Q1I1B5O7K,55,Medium,694,Novice,Medium,High,Preservation,Medium-term,4930490,1892881,3,33,3037609,Balanced
Y0UWX2SFBF,43,Medium,687,Intermediate,High,High,Income,Long-term,4825460,2032794,4,3,2792666,Aggressive
D78IHXQX26,31,Medium,614,Novice,High,High,Speculation,Medium-term,4846172,2015456,3,14,2830716,Aggressive
93Y4BTFQO0,26,Low,587,Novice,High,High,Growth,Medium-term,5147900,2026554,2,16,3121346,Aggressive
R65SV31CM7,27,Low,748,Novice,Low,High,Income,Long-term,5045057,2091043,0,13,2954014,Growth-oriented
TLRK8QSARK,38,High,653,Experienced,Medium,Medium,Income,Medium-term,4897573,1965810,1,16,2931763,Income
0IUQCPYXPJ,69,Medium,727,Intermediate,Medium,High,Income,Long-term,4806788,2003792,2,9,2802996,Balanced
B8B29N3FE7,34,Low,774,Experienced,Medium,Low,Growth,Long-term,4997274,2015839,2,22,2981435,Growth-oriented
SHAJG1S5G2,69,High,657,Novice,Medium,Low,Preservation,Medium-term,5209448,2092295,0,17,3117153,Balanced
9XG6HNUUXN,23,High,720,Experienced,Low,Medium,Speculation,Long-term,5101807,2096715,2,34,3005092,Balanced
E2AUPJIMFJ,33,Low,720,Experienced,Medium,Medium,Growth,Long-term,4796803,2027929,3,17,2768874,Balanced
OSM2ATGLW1,65,Medium,754,Experienced,Low,Low,Income,Short-term,5155971,1918046,4,33,3237925,Conservative
B6EUMBCV7J,18,High,738,Novice,High,High,Speculation,Medium-term,4999963,1946775,2,3,3053188,Aggressive
40T3M7AUSB,36,High,745,Novice,Medium,High,Speculation,Long-term,5062238,2148835,0,15,2913403,Balanced
B6RSEF8AG2,53,High,610,Experienced,High,High,Income,Short-term,4791192,1994256,3,0,2796936,Aggressive
XSQRCK8PVG,42,High,615,Experienced,Low,Medium,Income,Long-term,5065808,1795295,2,11,3270513,Balanced
RQW19YVVZX,67,Low,754,Novice,Medium,High,Preservation,Medium-term,5266791,1910863,3,23,3355928,Balanced
ME05TL33YM,69,High,845,Intermediate,Low,Low,Income,Long-term,5004198,1827587,3,25,3176611,Growth-oriented
F9EMRJMVVV,47,Medium,668,Intermediate,Medium,Medium,Preservation,Long-term,4913681,2167928,0,8,2745753,Balanced
YS8DD07DA1,37,Medium,646,Experienced,High,High,Income,Short-term,4574251,1853959,0,3,2720292,Aggressive
ILXXS40A8D,37,High,645,Intermediate,Medium,High,Speculation,Medium-term,5055044,2056714,0,31,2998330,Balanced
67FHDQWVT9,32,Medium,763,Intermediate,Medium,Low,Income,Medium-term,5059846,2213513,4,5,2846333,Balanced
9X4QBD23KU,57,High,696,Experienced,High,Low,Speculation,Short-term,4948519,1829440,3,36,3119079,Conservative
P5PVHXJZAC,50,Medium,723,Experienced,High,Low,Growth,Medium-term,4788991,1961543,1,20,2827448,Balanced
HUTPT3OQSY,19,Medium,688,Experienced,Medium,High,Income,Long-term,4915031,2097608,2,16,2817423,Balanced
5GL9ETU206,27,Medium,615,Experienced,Low,Medium,Income,Medium-term,4880168,1833371,0,35,3046797,Balanced
6NUL5Q79MW,50,Low,693,Experienced,Low,Low,Growth,Medium-term,5293037,1829822,3,38,3463215,Growth
6BEJH1DOSC,49,Low,769,Intermediate,High,High,Income,Medium-term,5143531,2123283,3,31,3020248,Aggressive
7DOQ7UUR2V,28,Medium,655,Experienced,High,Medium,Speculation,Medium-term,4959050,1980705,2,22,2978345,Balanced
TPGPSB9YEO,41,High,673,Novice,Low,Low,Income,Long-term,5313576,2150433,2,25,3163143,Balanced
7ELOJG59YG,53,Medium,560,Experienced,Medium,Low,Speculation,Long-term,4864958,2013044,3,27,2851914,Balanced
IZQKJ20VG3,29,Medium,750,Intermediate,Medium,Low,Income,Medium-term,5263838,2076294,0,16,3187544,Balanced
Q43KKXDMX3,68,Medium,701,Experienced,Medium,High,Income,Long-term,4969533,2044305,4,33,2925228,Balanced
4PN5RUYZ2H,46,Low,705,Experienced,High,Low,Preservation,Medium-term,5030675,1931765,4,17,3098910,Balanced
RMF3DU711Z,52,High,707,Intermediate,Low,Medium,Preservation,Medium-term,4949126,1865671,1,4,3083455,Balanced
UX6TQ0CY4I,18,Medium,721,Experienced,Low,Medium,Speculation,Long-term,4997189,2084665,2,13,2912524,Balanced
ZE6589MRXT,18,Low,697,Novice,High,Medium,Income,Short-term,5092691,2002372,0,32,3090319,Balanced
7CO6RIGTEG,54,High,688,Experienced,High,Medium,Income,Long-term,4982538,2032772,2,8,2949766,Balanced
SM51JP40ZZ,23,Low,635,Intermediate,Medium,Low,Speculation,Short-term,4841685,1894974,4,9,2946711,Conservative
8BQKZ4PEE4,56,Low,802,Novice,Low,High,Income,Medium-term,5170225,1951126,3,5,3219099,Balanced
ALIKFLNUTG,58,Medium,733,Intermediate,High,Medium,Speculation,Medium-term,4921390,1951573,4,30,2969817,Growth
8O5DTGCQQJ,35,High,626,Experienced,High,Medium,Preservation,Short-term,4992004,2082121,4,4,2909883,Balanced
NYDN912BJH,33,Medium,674,Intermediate,Low,Medium,Growth,Short-term,5177519,2066300,3,38,3111219,Balanced
86569TRKKN,22,Medium,743,Experienced,Medium,High,Income,Long-term,5220840,1911847,2,6,3308993,Balanced
YYLNZRAV6U,59,Medium,662,Experienced,Medium,High,Speculation,Medium-term,4954965,2018955,3,21,2936010,Balanced
DDAZZG8LSU,60,Low,787,Experienced,High,Low,Speculation,Short-term,4826812,2037548,3,24,2789264,Conservative
W0Y93Z0S2N,49,Medium,736,Novice,High,High,Growth,Medium-term,4993478,2126317,3,25,2867161,Aggressive
2KRCXPGLFJ,19,Medium,755,Intermediate,Medium,Low,Preservation,Medium-term,5052829,2001472,4,26,3051357,Balanced
